objectid,name,average,avgweight,boardgamecategory,boardgamemechanic
2643,Target  Libya,5.18824,2.1429,"['Modern Warfare', 'Wargame']",['Hexagon Grid']
1084,Das Gold der Maya,4.98222,1.6667,['Puzzle'],"['Auction/Bidding', 'Set Collection', 'Tile Placement']"
28301,Trivial Pursuit  Music Edition 1990-Now \u2013 Bite-size,5.005,2,"['Music', 'Party Game', 'Trivia']",['Dice Rolling']
5810,Trivial Pursuit  Warner Bros. All Family Edition,5.20175,1.75,"['Movies / TV / Radio theme', 'Party Game', 'Trivia']",['Roll / Spin and Move']
4952,Trivial Pursuit  TV Edition \u2013 4,5.29881,2,"['Movies / TV / Radio theme', 'Party Game', 'Trivia']",['Roll / Spin and Move']
24447,Twisted Fish,5.20714,1.4,"['Card Game', 'Memory']",['Memory']
298,Lang lebe der K\u00f6nig!,5.16333,2,['Wargame'],['Voting']
23598,Mother Sheep,5.35006,1.1875,['Animals'],['Line Drawing']
1941,Sj\u00f6r\u00f6var\u00f6n,5.46774,1.375,"['Adventure', 'Childrens Game', 'Dice', 'Pirates']",['Roll / Spin and Move']
13951,Guess Where?,5.24275,1,"['Childrens Game', 'Deduction']","['Childrens Game', 'Deduction']"
21967,Trivial Pursuit for Kids Volume 6,4.84091,1,"['Party Game', 'Trivia']",['Roll / Spin and Move']
35468,On Top,5.08889,1.4,['Abstract Strategy'],"['Area Majority / Influence', 'Tile Placement']"
2866,The London Game,5.42217,1.5,['Trains'],"['Dice Rolling', 'Point to Point Movement', 'Roll / Spin and Move']"
275,Extinction,5.02381,1.5,['Prehistoric'],['Prehistoric']
2724,Apache,5.11406,2.75,"['American Indian Wars', 'American West', 'Wargame']","['Hexagon Grid', 'Secret Unit Deployment', 'Variable Player Powers']"
6647,\u00d6kolopoly,5.25185,2.7,"['City Building', 'Economic', 'Educational', 'Environmental', 'Industry / Manufacturing', 'Political']","['Action Points', 'Cooperative Game', 'Simulation']"
8996,Pictionary Junior,5.43346,1.3125,"['Childrens Game', 'Party Game']","['Paper-and-Pencil', 'Roll / Spin and Move']"
20139,Elementals,4.94444,1,"['Card Game', 'Fantasy']",['Simultaneous Action Selection']
7552,Whad'Ya Know?,5.14661,1.2222,"['Party Game', 'Trivia']","['Party Game', 'Trivia']"
230995,Deadland,5.33095,1.5,['Zombies'],"['Area Movement', 'Cooperative Game']"
2357,Nizza,4.76667,2,['Adventure'],['Roll / Spin and Move']
4081,Nick at Nite Classic TV Trivia Game,5.03226,1,"['Movies / TV / Radio theme', 'Trivia']",['Roll / Spin and Move']
2193,Food Fight,5.20836,2,['Fighting'],['Action Points']
177502,Monopoly  Marvel Avengers,5.30385,1,['Economic'],['Roll / Spin and Move']
35658,Malta Convoy,4.80937,1.2857,"['Dice', 'Print & Play', 'Wargame', 'World War II']","['Dice Rolling', 'Paper-and-Pencil']"
4976,Pony Jumpers,4.99244,1,"['Animals', 'Childrens Game', 'Racing', 'Sports']",['Roll / Spin and Move']
6958,Monopoly  Justice League of America,4.94615,2,"['Comic Book / Strip', 'Economic', 'Movies / TV / Radio theme', 'Negotiation']","['Auction/Bidding', 'Player Elimination', 'Roll / Spin and Move', 'Set Collection', 'Trading']"
121471,Banditos,5.30676,2.5,['Economic'],['Economic']
16153,Labyrinth Treasure Hunt,5.36191,1.2778,"['Action / Dexterity', 'Childrens Game', 'Maze']","['Pattern Recognition', 'Simultaneous Action Selection']"
5882,Europe Aflame,5.35833,2.4615,"['Wargame', 'World War II']","['Area Movement', 'Area-Impulse', 'Secret Unit Deployment']"
9785,Twelve Caesars,4.75938,0,"['Ancient', 'Bluffing', 'Card Game']",['Auction/Bidding']
1297,Trivial Pursuit  Star Wars Classic Trilogy Collector's Edition,5.5484,1.5521,"['Movies / TV / Radio theme', 'Party Game', 'Science Fiction', 'Trivia']",['Roll / Spin and Move']
65581,Hamunaptra  Aventures dans la Grande Pyramide,5.39903,2.375,"['Adventure', 'Dice', 'Exploration', 'Fantasy', 'Fighting', 'Maze']","['Dice Rolling', 'Tile Placement']"
175879,Ruddy Vikings,5.03191,1,"['Card Game', 'Party Game']",['Hand Management']
20096,Toru,5.4014,1.1111,"['Action / Dexterity', 'Party Game']",['Set Collection']
153116,Bravest Warriors Co-operative Dice Game,5.39565,1.3333,"['Dice', 'Movies / TV / Radio theme', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Variable Player Powers']"
207311,Card Rogue,5.56216,2,"['Exploration', 'Fantasy']","['Role Playing', 'Tile Placement']"
